Date,Open,High,Low,Close,Volume
2022-01-01,137.45401188473625,143.87432834627913,136.4227731963769,137.68160213561134,990695
2022-01-02,195.07143064099162,195.9128302909421,186.04590157419597,188.79473259059844,100126
2022-01-03,173.19939418114052,174.81568132208665,168.14687045666196,169.32731989750081,938761
2022-01-04,159.86584841970367,168.85139030497447,151.60127375862626,153.13140280389186,127632
2022-01-05,115.60186404424365,121.66615464083955,112.40136803393754,113.51903363682234,600315
2022-01-06,115.59945203362027,115.69142254978657,106.64421974865826,110.81297870950439,820670
2022-01-07,105.80836121681995,106.82307664548027,101.91634442947831,102.92876873282749,209945
2022-01-08,186.6176145774935,193.25263226857405,186.5092380626905,188.96565333306012,417320
2022-01-09,160.1115011743209,160.16211701278309,151.05768141012825,155.64101153389055,350869
2022-01-10,170.80725777960456,172.41533829377954,169.8943910117432,171.63483997850835,841426
2022-01-11,102.05844942958025,107.54578732324612,98.8653130536761,99.2065610720485,598716
2022-01-12,196.99098521619942,203.90993719312635,187.49036554569136,200.61634186628297,275399
2022-01-13,183.24426408004217,189.7638766750682,173.7381926106666,183.80072587656258,562120
2022-01-14,121.23391106782762,123.47660416243322,115.49953218659476,116.15172986912579,234869
2022-01-15,118.18249672071006,125.30428893418542,111.86412459901207,123.60516486670178,278954
2022-01-16,118.34045098534338,120.71294186031137,113.85599576556018,120.17036817615096,769078
2022-01-17,130.42422429595376,133.67822127754644,127.49211657897312,127.86995123341057,134560
2022-01-18,152.4756431632238,159.94055721440404,149.18899770952464,152.16586421915036,963021
2022-01-19,143.1945018642116,149.69083085468372,136.46931730344122,147.12851844925422,384260
2022-01-20,129.1229140198042,137.61514812474599,121.5991687254274,133.58328051195258,232717
2022-01-21,161.18528947223794,167.76141839524138,153.26949903497945,155.9435627677654,278595
2022-01-22,113.94938606520418,119.63247209855889,106.05320463725864,108.89601509169006,748373
2022-01-23,129.2144648535218,130.15121253180274,128.3024038230349,128.98733587303113,479862
2022-01-24,136.63618432936917,140.3133423599635,131.69198128234336,135.86922888808155,905688
2022-01-25,145.6069984217036,148.25902209852086,145.03141082153715,147.02689689417733,594592
2022-01-26,178.51759613930136,180.9574925730922,173.022307316064,175.94970538989466,200158
2022-01-27,119.96737821583598,129.69748376336042,115.5520732021022,122.0948166606406,808533
2022-01-28,151.42344384136118,155.35442108802877,142.5464020137782,152.12002404684333,268502
2022-01-29,159.24145688620425,168.1619224379754,155.73230676068346,156.18826487442573,532498
2022-01-30,104.64504127199977,110.9564275319724,103.47437110772371,105.3631185688706,430388
2022-01-31,160.75448519014384,168.70259822556034,159.3245683696155,166.01438208376672,767054
2022-02-01,117.05241236872915,122.07878329978107,109.43730605155443,120.75404292263407,418408
2022-02-02,106.50515929852796,112.27419814479154,100.32297866536534,106.43814807876106,568276
2022-02-03,194.88855372533334,199.81373066352197,193.87732696410544,197.03616742654387,157545
2022-02-04,196.56320330745592,198.51563318543637,195.72213524630595,196.02152003911607,611411
2022-02-05,180.8397348116461,188.06425596426115,173.8300434970549,180.19860618687557,925656
2022-02-06,130.46137691733708,133.26910054174564,129.73374685369515,131.6167372709763,984377
2022-02-07,109.76721140063839,110.01037106495292,101.54861080773483,103.60033807893885,113224
2022-02-08,168.4233026512157,174.87802561028738,161.36088037965072,165.00028023475934,140738
2022-02-09,144.01524937396013,145.7863561680306,143.20176156754113,144.17688817835153,950163
2022-02-10,112.20382348447788,121.60840932800703,111.35544634362596,111.56123559149317,280760
2022-02-11,149.51769101112703,159.0569767811529,139.65129522611528,145.90146094893467,863978
2022-02-12,103.43885211152184,112.58749601372632,99.69614415396063,102.42199481219929,566725
2022-02-13,190.9320402078782,194.63362721043265,187.2256187372093,189.65172189710148,763937
2022-02-14,125.8779981600017,126.03256432529037,117.75000248742667,118.741939750054,632358
2022-02-15,166.2522284353982,175.53541406127545,156.7797426615596,173.48217971159957,226161
2022-02-16,131.1711076089411,135.45294909211424,121.31109697071238,129.70559366925383,632954
2022-02-17,152.0068021177811,161.67335030821778,144.47302026519168,156.15380428746136,944193
2022-02-18,154.67102793432798,164.3072277052205,150.90843207901884,161.48237621919498,398512
2022-02-19,118.4854455525527,127.0155401072263,117.65043838556602,122.31840028090467,762143
2022-02-20,196.95846277645586,199.9029516971517,189.18699361718149,190.11842778062524,666202
2022-02-21,177.51328233611144,181.3642596221307,171.9292398387534,176.99685068659278,301579
2022-02-22,193.9498941564189,202.46126087158748,189.70767406394916,197.19200320491996,752026
2022-02-23,189.4827350427649,192.65195509432766,180.41919119181753,189.53797628312574,871253
2022-02-24,159.78999788110852,161.48492534796944,158.67802305804702,159.88964922682598,604471
2022-02-25,192.18742350231167,197.75543612689518,187.26117245940307,188.6000337957182,429670
2022-02-26,108.84925020519195,118.21079794679976,108.73571375751776,111.42451435585043,906388
2022-02-27,119.59828624191452,126.55858420866426,114.91167982197327,119.14046461262836,318967
2022-02-28,104.5227288910538,110.22334059194745,103.95969613423543,108.00549208304275,932672
2022-03-01,132.53303307632643,133.50479801403412,131.34485391364572,132.57770314544504,483152
2022-03-02,138.8677289689482,145.01780123593988,137.69246650117714,140.30099421633193,194270
2022-03-03,127.13490317738959,137.03544167843222,120.64280015622896,136.81439098587944,891189
2022-03-04,182.87375091519294,184.2745910675582,175.4133021225387,180.78124783247708,643385
2022-03-05,135.67533266935894,140.85862919299632,129.84164501838734,132.45516882873605,765755
2022-03-06,128.09345096873807,136.8671816880176,118.47172548399266,120.34406050141867,247313
2022-03-07,154.26960831582485,161.6772944933669,150.5209025205878,152.2262589939498,990324
2022-03-08,114.09242249747626,121.06257990742894,111.23530163465766,113.65239667483091,258768
2022-03-09,180.21969807540398,187.2445389152751,171.53370679350937,174.05814487388503,346726
2022-03-10,107.45506436797709,111.04997588017464,105.21910598278257,106.30695402716935,956912
2022-03-11,198.68869366005174,201.6246121026967,189.05646826564563,192.63958535303823,670451
2022-03-12,177.22447692966574,185.31808848445087,177.10293218276757,178.52722336669876,119816
2022-03-13,119.87156815341724,127.97270210020905,110.17277988634085,126.1351346887777,857907
2022-03-14,100.55221171236025,109.22293489816128,100.12061259285449,100.85092600562876,414997
2022-03-15,181.54614284548342,190.67854837104812,172.6347117085027,182.0989095495531,255989
2022-03-16,170.6857343847617,175.79915837337109,165.4087232938987,169.67292488155624,721019
2022-03-17,172.90071680409875,177.91587975097076,162.97106884290574,177.65253151273131,776926
2022-03-18,177.12703466859458,185.1099864582623,176.38906902124057,177.36615103678272,306524
2022-03-19,107.40446517340904,113.90410448118669,101.86592232939583,106.65538050081834,687111
2022-03-20,135.84657285442725,142.86624162700429,126.15354749823626,142.35601031645172,251878
2022-03-21,111.58690595251298,119.54483264687399,106.35592751081148,117.7710188888133,830880
2022-03-22,186.31034258755935,195.21039600573502,180.01635620620672,192.4309817712931,626047
2022-03-23,162.3298126827558,165.70976425127117,155.37232579290963,158.03838039572415,881452
2022-03-24,133.08980248526493,136.84563201166438,128.5443918375872,129.96297074328075,535165
2022-03-25,106.35583502860237,107.29565442701106,100.08025422776174,104.90478265003118,978806
2022-03-26,131.09823217156622,136.88103358152796,125.25508905233522,136.05996274869617,233554
2022-03-27,132.5183322026747,132.87775494064215,123.50675209776483,128.72417875100697,910874
2022-03-28,172.9606178338064,177.616598015131,172.50615403039183,175.42734866089384,551282
2022-03-29,163.75574713552132,169.18219348259709,160.946115239599,163.2520449613888,193501
2022-03-30,188.72127425763267,191.58668677891552,179.21715941686708,188.73542330888765,364223
2022-03-31,147.22149251619493,153.12982512188503,138.31885467728577,141.0891541090183,159676
2022-04-01,111.95942459383016,112.26442709322066,107.40285706597304,108.9764463401183,841804
2022-04-02,171.3244787222995,171.69796060979164,165.1231527442841,167.92031558717284,273532
2022-04-03,176.07850486168974,184.3045104682863,173.3046930318784,178.8883145262333,714685
2022-04-04,156.12771975694963,159.72962617106225,154.24650815971202,155.57566932964374,697135
2022-04-05,177.09671799545612,178.36732312197498,172.4597339460563,173.13814272888249,717895
2022-04-06,149.37955963643907,154.60199223698712,145.84603735617853,151.1925988971149,320178
2022-04-07,152.2732829381994,159.9732184691855,146.4367218196907,150.34376833656924,249521
2022-04-08,142.75410183585495,144.9123121108234,141.9767554662051,143.68301318920837,526752
2022-04-09,102.54191267440952,108.77081743259951,92.79796459774785,95.2635775320108,688365
2022-04-10,110.78914269933044,111.64261734926812,100.92703525453442,106.08273151502826,924690
2022-04-11,103.14291856867342,103.6597357803595,96.16130142847597,100.15488832497094,803662
2022-04-12,163.64104112637804,168.95458744205953,158.28007746293684,158.83326832390128,357009
2022-04-13,131.43559810763267,136.84194932373373,128.34032194476939,131.20200609213936,237717
2022-04-14,150.85706911647029,157.23136813145234,142.71911891940078,144.6697782088966,481915
2022-04-15,190.7566473926093,198.0175607298359,183.9093356670705,184.80344401384642,662288
2022-04-16,124.92922291488749,134.68774370951283,123.30305352143857,134.5734440657121,651025
2022-04-17,141.03829230356297,146.20129578657492,131.92902045862454,136.52974328712722,897917
2022-04-18,175.55511385430486,178.78467858371732,167.32974142507317,176.60680230872975,400709
2022-04-19,122.87981654916224,130.8316784968493,113.381817416243,117.8252614673453,951587
2022-04-20,107.6979909828793,110.40631349550004,100.4407958989957,107.23232326938388,286240
2022-04-21,128.9751452913768,133.36485949843316,122.84099333201891,130.8415295854775,676775
2022-04-22,116.12212872540044,116.90669253882311,111.93969836249425,114.89823251828928,374486
2022-04-23,192.9697652342573,193.22327266841188,183.64248040071715,188.16055390160747,402950
2022-04-24,180.8120379564417,190.43852210322098,172.15139906143764,179.68278453208927,410914
2022-04-25,163.34037565104234,171.7001768561644,162.88818894998045,165.96241189560868,178623
2022-04-26,187.14605901877178,194.10580107970875,186.88238927379925,193.59676106829596,465321
2022-04-27,180.36720768991145,184.45673713405415,176.60257402113095,183.12639433465546,962061
2022-04-28,118.65700588860358,120.38994908931204,110.55147258078524,120.04586717147392,283675
2022-04-29,189.25589984899779,190.82027027570865,179.38313855584835,180.80474227326545,837334
2022-04-30,153.93422419156508,156.43665317321103,152.43005528052979,155.35834736650997,730235
2022-05-01,180.74401551640625,186.23628216346745,174.80270836288489,185.53129322602058,912831
